Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1301007221,,,,Serial number of connected stacker:,,,,,,,,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date:,12/17/2019,,,,,,,,,,,,,,,,,,
Time:,6:36:19 PM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
System,,,,CSSB-TOPCAT,,,,,,,,,,,,,,,
User,,,,CSSB-TOPCAT\AE_Lab_User,,,,,,,,,,,,,,,
Plate,,,,Corning 96 Flat Bottom Black Polystyrene Cat. No.: 3631 [COR96fb clear bottom.pdfx],,,,,,,,,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Label: od600,,,,,,,,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
A,21690,6162,3048,12777,40042,1446,3220,5529,477,1459,17255,306,,,,,,,
B,22858,7178,3321,13642,41014,1421,3408,6448,494,1564,16218,306,,,,,,,
C,22100,7726,3457,13501,41010,1425,3288,6383,502,1528,15757,302,,,,,,,
D,257,254,1605,262,953,249,6738,773,766,13426,18032,658,,,,,,,
E,256,250,1564,265,867,247,6620,757,756,14296,17736,658,,,,,,,
F,255,253,1626,266,794,249,6527,767,756,13916,18808,649,,,,,,,
G,794,537,1251,3576,29667,500,109,118,117,107,109,109,,,,,,,
H,772,531,1266,3442,32475,504,777,530,1371,3417,32765,500,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
End Time:,12/17/2019 6:38:59 PM,,,,,,,,,,,,,,,,,,
